"","alcohol","pH","citric acid","free sulfur dioxide","total sulfur dioxide","residual sugar","quality"
"1",0.129032258064516,0.254545454545454,0.216867469879518,0.149825783972125,0.373549883990719,0.308282208588957,6
"2",0.241935483870968,0.527272727272727,0.204819277108434,0.0418118466898955,0.28538283062645,0.0153374233128834,6
"3",0.338709677419355,0.490909090909091,0.240963855421687,0.0975609756097561,0.204176334106729,0.0966257668711657,6
"4",0.306451612903226,0.427272727272727,0.192771084337349,0.156794425087108,0.410672853828306,0.121165644171779,6
"5",0.306451612903226,0.427272727272727,0.192771084337349,0.156794425087108,0.410672853828306,0.121165644171779,6
"6",0.338709677419355,0.490909090909091,0.240963855421687,0.0975609756097561,0.204176334106729,0.0966257668711657,6
"7",0.258064516129032,0.418181818181818,0.0963855421686747,0.0975609756097561,0.294663573085847,0.098159509202454,6
"8",0.129032258064516,0.254545454545454,0.216867469879518,0.149825783972125,0.373549883990719,0.308282208588957,6
"9",0.241935483870968,0.527272727272727,0.204819277108434,0.0418118466898955,0.28538283062645,0.0153374233128834,6
"10",0.483870967741936,0.454545454545455,0.259036144578313,0.0905923344947735,0.278422273781903,0.0138036809815951,6
"11",0.645161290322581,0.245454545454546,0.246987951807229,0.0313588850174216,0.125290023201856,0.0130368098159509,5
"12",0.274193548387097,0.381818181818182,0.240963855421687,0.0522648083623693,0.232018561484919,0.0552147239263804,5
"13",0.451612903225807,0.418181818181818,0.22289156626506,0.0487804878048781,0.153132250580046,0.00920245398773006,5
"14",0.709677419354839,0.745454545454546,0.240963855421687,0.160278745644599,0.310904872389791,0.0138036809815951,7
"15",0.274193548387097,0.236363636363636,0.373493975903614,0.13588850174216,0.378190255220418,0.286042944785276,5
"16",0.548387096774194,0.481818181818182,0.228915662650602,0.0905923344947735,0.238979118329466,0.0138036809815951,7
"17",0.258064516129032,0.472727272727273,0.0240963855421687,0.0975609756097561,0.208816705336427,0.00766871165644172,6
"18",0.774193548387097,0.554545454545455,0.289156626506024,0.0940766550522648,0.153132250580046,0.00920245398773006,8
"19",0.532258064516129,0.363636363636364,0.253012048192771,0.0522648083623693,0.375870069605568,0.00766871165644172,6
"20",0.241935483870968,0.454545454545455,0.0843373493975904,0.111498257839721,0.287703016241299,0.105828220858896,5
"21",0.774193548387097,0.554545454545455,0.289156626506024,0.0940766550522648,0.153132250580046,0.00920245398773006,8
"22",0.483870967741936,0.409090909090909,0.228915662650602,0.0592334494773519,0.215777262180974,0.0352760736196319,7
"23",0.403225806451613,0.681818181818182,0.253012048192771,0.13588850174216,0.262180974477958,0.0168711656441718,8
"24",0.209677419354839,0.3,0.0843373493975904,0.0801393728222996,0.368909512761021,0.0138036809815951,5
"25",0.32258064516129,0.636363636363636,0.246987951807229,0.0487804878048781,0.308584686774942,0.0107361963190184,6
"26",0.387096774193548,0.481818181818182,0.192771084337349,0.18815331010453,0.547563805104408,0.128834355828221,6
"27",0.32258064516129,0.663636363636364,0.210843373493976,0.114982578397213,0.317865429234339,0.00613496932515337,6
"28",0.403225806451613,0.6,0.234939759036145,0.104529616724739,0.306264501160093,0.124233128834356,6
"29",0.580645161290323,0.427272727272727,0.289156626506024,0.0522648083623693,0.28538283062645,0.00766871165644172,6
"30",0.693548387096774,0.345454545454545,0.216867469879518,0.121951219512195,0.243619489559165,0.0214723926380368,7
"31",0.32258064516129,0.436363636363637,0.234939759036145,0.0627177700348432,0.308584686774942,0.150306748466258,6
"32",0.354838709677419,0.681818181818182,0.204819277108434,0.0174216027874564,0.0881670533642691,0.00766871165644172,6
"33",0.451612903225807,0.427272727272727,0.216867469879518,0.101045296167247,0.211136890951276,0.022239263803681,6
"34",0.161290322580645,0.636363636363636,0.204819277108434,0.142857142857143,0.250580046403712,0.0138036809815951,6
"35",0.354838709677419,0.590909090909091,0.120481927710843,0.0696864111498258,0.394431554524362,0.220092024539877,5
"36",0.774193548387097,0.427272727272727,0.259036144578313,0.0662020905923345,0.264501160092807,0.0168711656441718,5
"37",0.32258064516129,0.472727272727273,0.13855421686747,0.0801393728222996,0.324825986078886,0.0736196319018405,5
"38",0.516129032258065,0.372727272727273,0.192771084337349,0.125435540069686,0.299303944315545,0.00920245398773006,6
"39",0.0967741935483871,0.445454545454545,0.234939759036145,0.149825783972125,0.324825986078886,0.266104294478528,5
"40",0.0967741935483871,0.445454545454545,0.234939759036145,0.149825783972125,0.324825986078886,0.266104294478528,5
"41",0.225806451612903,0.354545454545454,0.234939759036145,0.212543554006969,0.345707656612529,0.0291411042944785,6
"42",0.225806451612903,0.345454545454545,0.234939759036145,0.212543554006969,0.34338747099768,0.0352760736196319,6
